Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Cq Mean
A01,FAM,PfVarATS,Unkn,1465,NaN,NaN,0
A02,FAM,PfVarATS,Unkn,1444,NaN,NaN,0
A04,FAM,PfVarATS,Unkn,1441,NaN,NaN,0
A05,FAM,PfVarATS,Unkn,1440,NaN,NaN,0
A06,FAM,PfVarATS,Unkn,1455,NaN,NaN,0
A07,FAM,PfVarATS,Unkn,1485,NaN,NaN,0
A08,FAM,PfVarATS,Unkn,1568,NaN,NaN,0
A09,FAM,PfVarATS,Unkn,1493,NaN,NaN,0
A11,FAM,PfVarATS,Unkn,1464,NaN,NaN,0
A12,FAM,PfVarATS,Unkn,1457,NaN,NaN,0
B01,FAM,PfVarATS,Unkn,1468,NaN,NaN,0
B02,FAM,PfVarATS,Unkn,1435,NaN,NaN,0
B03,FAM,PfVarATS,Unkn,1456,38.00151342,NaN,38.00151342
B04,FAM,PfVarATS,Unkn,1469,NaN,NaN,0
B05,FAM,PfVarATS,Unkn,1569,39.09988553,NaN,39.09988553
B06,FAM,PfVarATS,Unkn,1438,NaN,NaN,0
B07,FAM,PfVarATS,Unkn,1484,NaN,NaN,0
B08,FAM,PfVarATS,Unkn,1443,NaN,NaN,0
B09,FAM,PfVarATS,Unkn,1439,NaN,NaN,0
B10,FAM,PfVarATS,Unkn,1458,NaN,NaN,0
B12,FAM,PfVarATS,Unkn,1467,NaN,NaN,0
C01,FAM,PfVarATS,Unkn,1505,NaN,NaN,0
C02,FAM,PfVarATS,Unkn,1486,NaN,NaN,0
C04,FAM,PfVarATS,Unkn,1516,37.93936503,NaN,37.93936503
C06,FAM,PfVarATS,Unkn,1504,NaN,NaN,0
C07,FAM,PfVarATS,Unkn,1507,NaN,NaN,0
C08,FAM,PfVarATS,Unkn,1506,NaN,NaN,0
C09,FAM,PfVarATS,Unkn,1550,NaN,NaN,0
C10,FAM,PfVarATS,Unkn,1547,NaN,NaN,0
C11,FAM,PfVarATS,Unkn,1432,NaN,NaN,0
D01,FAM,PfVarATS,Unkn,1488,NaN,NaN,0
D02,FAM,PfVarATS,Unkn,1471,NaN,NaN,0
D03,FAM,PfVarATS,Unkn,1472,37.96969057,NaN,37.96969057
D04,FAM,PfVarATS,Unkn,1470,37.8526341,NaN,37.8526341
D05,FAM,PfVarATS,Unkn,1489,40.23196377,NaN,40.23196377
D06,FAM,PfVarATS,Unkn,1487,NaN,NaN,0
D07,FAM,PfVarATS,Unkn,1509,NaN,NaN,0
D08,FAM,PfVarATS,Unkn,1532,NaN,NaN,0
D09,FAM,PfVarATS,Unkn,1517,NaN,NaN,0
D10,FAM,PfVarATS,Unkn,1552,37.43857679,NaN,37.43857679
D11,FAM,PfVarATS,Unkn,1508,NaN,NaN,0
D12,FAM,PfVarATS,Unkn,1510,NaN,NaN,0
E01,FAM,PfVarATS,Unkn,1527,NaN,NaN,0
E02,FAM,PfVarATS,Unkn,1526,NaN,NaN,0
E03,FAM,PfVarATS,Unkn,1520,NaN,NaN,0
E04,FAM,PfVarATS,Unkn,1519,NaN,NaN,0
E05,FAM,PfVarATS,Unkn,1518,NaN,NaN,0
E06,FAM,PfVarATS,Unkn,1442,37.68015032,NaN,37.68015032
E07,FAM,PfVarATS,Unkn,1533,NaN,NaN,0
E10,FAM,PfVarATS,Unkn,1571,NaN,NaN,0
E11,FAM,PfVarATS,Unkn,1567,NaN,NaN,0
E12,FAM,PfVarATS,Unkn,1566,41.78655184,NaN,41.78655184
F03,FAM,PfVarATS,Unkn,1436,NaN,NaN,0
F04,FAM,PfVarATS,Unkn,1437,36.41141027,NaN,36.41141027
F05,FAM,PfVarATS,Unkn,1512,NaN,NaN,0
F06,FAM,PfVarATS,Unkn,1473,NaN,NaN,0
F07,FAM,PfVarATS,Unkn,1549,40.24717956,NaN,40.24717956
F08,FAM,PfVarATS,Unkn,1546,NaN,NaN,0
F09,FAM,PfVarATS,Unkn,1564,37.85510292,NaN,37.85510292
F10,FAM,PfVarATS,Unkn,1565,39.36089683,NaN,39.36089683
F12,FAM,PfVarATS,Unkn,1529,NaN,NaN,0
G01,FAM,PfVarATS,Unkn,1573,37.89370551,NaN,37.89370551
G02,FAM,PfVarATS,Unkn,1572,NaN,NaN,0
G03,FAM,PfVarATS,Unkn,1434,NaN,NaN,0
G05,FAM,PfVarATS,Unkn,1528,NaN,NaN,0
G06,FAM,PfVarATS,Unkn,1454,40.67224276,NaN,40.67224276
G07,FAM,PfVarATS,Unkn,1492,NaN,NaN,0
A01,FAM,PfVarATS,Unkn,2253,NaN,NaN,0
A02,FAM,PfVarATS,Unkn,2254,36.57158049,NaN,36.57158049
A03,FAM,PfVarATS,Unkn,2255,NaN,NaN,0
A04,FAM,PfVarATS,Unkn,2256,NaN,NaN,0
A05,FAM,PfVarATS,Unkn,2257,38.54861478,NaN,38.54861478
A06,FAM,PfVarATS,Unkn,2258,38.1655743,NaN,38.1655743
A07,FAM,PfVarATS,Unkn,2259,NaN,NaN,0
A08,FAM,PfVarATS,Unkn,2260,NaN,NaN,0
A09,FAM,PfVarATS,Unkn,2261,NaN,NaN,0
A10,FAM,PfVarATS,Unkn,2262,NaN,NaN,0
A11,FAM,PfVarATS,Unkn,2263,42.60511505,NaN,42.60511505
A12,FAM,PfVarATS,Unkn,2264,NaN,NaN,0
B01,FAM,PfVarATS,Unkn,2265,38.07745773,NaN,38.07745773
B04,FAM,PfVarATS,Unkn,2268,NaN,NaN,0
B05,FAM,PfVarATS,Unkn,2270,NaN,NaN,0
B06,FAM,PfVarATS,Unkn,2269,NaN,NaN,0
B07,FAM,PfVarATS,Unkn,5127,37.05196244,NaN,37.05196244
B08,FAM,PfVarATS,Unkn,5128,NaN,NaN,0
B09,FAM,PfVarATS,Unkn,5129,NaN,NaN,0
B10,FAM,PfVarATS,Unkn,5130,37.7583332,NaN,37.7583332
B11,FAM,PfVarATS,Unkn,5131,NaN,NaN,0
B12,FAM,PfVarATS,Unkn,5132,36.28021084,NaN,36.28021084
C01,FAM,PfVarATS,Unkn,5133,NaN,NaN,0
C02,FAM,PfVarATS,Unkn,5134,NaN,NaN,0
C03,FAM,PfVarATS,Unkn,5135,NaN,NaN,0
C05,FAM,PfVarATS,Unkn,5137,NaN,NaN,0
C06,FAM,PfVarATS,Unkn,5138,36.30724454,NaN,36.30724454
C07,FAM,PfVarATS,Unkn,5139,NaN,NaN,0
C09,FAM,PfVarATS,Unkn,5141,NaN,NaN,0
C10,FAM,PfVarATS,Unkn,5142,NaN,NaN,0
C12,FAM,PfVarATS,Unkn,5144,NaN,NaN,0
D02,FAM,PfVarATS,Unkn,5146,NaN,NaN,0
D03,FAM,PfVarATS,Unkn,5147,NaN,NaN,0
D05,FAM,PfVarATS,Unkn,5149,NaN,NaN,0
D06,FAM,PfVarATS,Unkn,5150,NaN,NaN,0
D07,FAM,PfVarATS,Unkn,5151,NaN,NaN,0
D08,FAM,PfVarATS,Unkn,5152,NaN,NaN,0
D09,FAM,PfVarATS,Unkn,5153,NaN,NaN,0
D10,FAM,PfVarATS,Unkn,5154,37.21820063,NaN,37.21820063
D11,FAM,PfVarATS,Unkn,5155,36.96607203,NaN,36.96607203
D12,FAM,PfVarATS,Unkn,5156,NaN,NaN,0
E03,FAM,PfVarATS,Unkn,5159,38.26445385,NaN,38.26445385
E04,FAM,PfVarATS,Unkn,5160,NaN,NaN,0
E05,FAM,PfVarATS,Unkn,5161,NaN,NaN,0
E06,FAM,PfVarATS,Unkn,5162,NaN,NaN,0
E07,FAM,PfVarATS,Unkn,5163,NaN,NaN,0
E08,FAM,PfVarATS,Unkn,5164,NaN,NaN,0
E10,FAM,PfVarATS,Unkn,5166,NaN,NaN,0
E11,FAM,PfVarATS,Unkn,5167,37.83947174,NaN,37.83947174
E12,FAM,PfVarATS,Unkn,5168,NaN,NaN,0
F01,FAM,PfVarATS,Unkn,5169,NaN,NaN,0
F02,FAM,PfVarATS,Unkn,5170,NaN,NaN,0
F03,FAM,PfVarATS,Unkn,5171,NaN,NaN,0
F04,FAM,PfVarATS,Unkn,5172,36.51733749,NaN,36.51733749
F05,FAM,PfVarATS,Unkn,5173,NaN,NaN,0
F06,FAM,PfVarATS,Unkn,5174,NaN,NaN,0
F07,FAM,PfVarATS,Unkn,5175,NaN,NaN,0
F08,FAM,PfVarATS,Unkn,5176,NaN,NaN,0
F09,FAM,PfVarATS,Unkn,5177,NaN,NaN,0
F10,FAM,PfVarATS,Unkn,5178,36.18552939,NaN,36.18552939
F11,FAM,PfVarATS,Unkn,5179,NaN,NaN,0
F12,FAM,PfVarATS,Unkn,5762,NaN,NaN,0
G01,FAM,PfVarATS,Unkn,5763,NaN,NaN,0
G03,FAM,PfVarATS,Unkn,5765,NaN,NaN,0
G04,FAM,PfVarATS,Unkn,5766,NaN,NaN,0
G05,FAM,PfVarATS,Unkn,5767,NaN,NaN,0
G06,FAM,PfVarATS,Unkn,5768,NaN,NaN,0
G07,FAM,PfVarATS,Unkn,5769,NaN,NaN,0
G11,FAM,PfVarATS,Unkn,5773,NaN,NaN,0
G12,FAM,PfVarATS,Unkn,5774,NaN,NaN,0
H01,FAM,PfVarATS,Unkn,5775,NaN,NaN,0
H02,FAM,PfVarATS,Unkn,5776,NaN,NaN,0
H03,FAM,PfVarATS,Unkn,5777,NaN,NaN,0
H05,FAM,PfVarATS,Unkn,5779,NaN,NaN,0
H06,FAM,PfVarATS,Unkn,5780,NaN,NaN,0
H08,FAM,PfVarATS,Unkn,5782,NaN,NaN,0
H09,FAM,PfVarATS,Unkn,5783,NaN,NaN,0
H10,FAM,PfVarATS,Unkn,5784,NaN,NaN,0
A01,FAM,PfVarATS,Unkn,2110,NaN,NaN,0
A02,FAM,PfVarATS,Unkn,2111,NaN,NaN,0
A03,FAM,PfVarATS,Unkn,2112,NaN,NaN,0
A04,FAM,PfVarATS,Unkn,2113,NaN,NaN,0
A05,FAM,PfVarATS,Unkn,2114,NaN,NaN,0
A09,FAM,PfVarATS,Unkn,2118,NaN,NaN,0
